algorithm,matrix_size,block_size,time_seconds,cpu_atom_cycles,cpu_core_cycles,cpu_atom_instructions,ipc_atom,cpu_core_instructions,ipc_core,cpu_atom_cache_references,cpu_core_cache_references,cpu_atom_cache_misses,cpu_core_cache_misses,cpu_atom_l1_dcache_loads,cpu_core_l1_dcache_loads,cpu_atom_l1_dcache_load_misses,cpu_core_l1_dcache_load_misses,cpu_atom_llc_loads,cpu_core_llc_loads,cpu_atom_llc_load_misses,cpu_core_llc_load_misses,cpu_core_mem_load_retired_l1_miss,cpu_core_mem_load_retired_l2_miss,elapsed_seconds,user_seconds,sys_seconds,cpu_atom_mem_load_retired_l1_miss,cpu_atom_mem_load_retired_l2_miss,cache_miss_rate,l1_miss_rate,llc_miss_rate,instructions_per_cycle,gflops_estimate,normalized_cache_misses_per_element,normalized_l1_misses_per_element,speedup_vs_onmult,speedup_vs_onmultline
OnMult,1024.0,,2.292,7254944535.0,11756369910.0,6755918351.0,0.93,7596287622.0,0.65,49640814.0,1662147814.0,35201910.0,1179020.0,1686461657.0,2164961133.0,,1058477122.0,10668619.0,1042658312.0,238003.0,139353.0,982185814.0,966289860.0,2.3001828,2.292366,0.007001,,,0.0007093352288342269,0.4889127596176573,0.00013365164636984164,0.65,0.9336143405645847,1.1244010925292969,1009.4424457550049,1.0,
OnMult,1536.0,,9.062,33178852897.0,38495459334.0,33133358474.0,1.0,25607053498.0,0.67,395304380.0,5976605958.0,344948348.0,72003771.0,6757380326.0,7295035679.0,,3635555539.0,17062393.0,3613913500.0,314107.0,22854840.0,3338954383.0,3331304439.0,9.080393014,9.056248,0.021995,,,0.012047602185253518,0.49836021357175325,0.006324124802655072,0.67,0.7981766098477816,30.519176483154297,1540.949308183458,1.0,
OnMult,2048.0,,23.9,77090041079.0,119145268126.0,17331628332.0,0.22,60708835854.0,0.51,2696407598.0,10409136200.0,299576808.0,843212699.0,4909754615.0,17311653829.0,,9457578942.0,1892848197.0,8543660952.0,0.0,495168436.0,8001121085.0,7842684994.0,23.928960627,23.887031,0.036992,,,0.0810069810595811,0.546312850026895,0.057957407109429496,0.51,0.7179530048043654,201.0375735759735,2254.862533092499,1.0,
OnMult,2560.0,,61.937,,285204544083.0,,,118580118249.0,0.42,,29486388066.0,,3691129347.0,,33820632131.0,,27516777074.0,,16976982423.0,,1092038223.0,16308275555.0,15532762717.0,61.988599733,61.917402,0.054985,,,0.12518078981861283,0.8136091888353002,0.0643246364866664,0.42,0.5413000478237469,563.2216410827637,4198.72697052002,1.0,
OnMult,3072.0,,152.925,545892023304.0,758453689479.0,101299845242.0,0.19,205493791994.0,0.27,13487222954.0,42495266313.0,2399121348.0,11877085012.0,28871529080.0,58605791128.0,,51031181050.0,11163722175.0,28795896551.0,0.0,7569512448.0,28663149134.0,26668375672.0,153.010682638,152.895995,0.076981,,,0.279491953868909,0.8707532151309687,0.2628677469581037,0.27,0.3789412444696867,1258.541214413113,5407.458522584703,1.0,
OnMultBlock,1024.0,128.0,0.341,,1734602482.0,,,7660154981.0,4.42,,4387859.0,,988370.0,,2166628291.0,,32547537.0,,198843.0,,30187.0,30999174.0,207380.0,0.350421172,0.343283,0.006985,,,0.22525108486849738,0.0150222062248517,0.15181323959103413,4.42,6.128293092975558,0.9425830841064453,31.03975009918213,6.564052014528391,0.9587796567269057
OnMultBlock,1024.0,256.0,0.32,,1617331009.0,,,7630028614.0,4.72,,5033438.0,,1254953.0,,2159321426.0,,41876521.0,,351287.0,,75102.0,41061308.0,325976.0,0.330110903,0.320997,0.008999,,,0.24932322599384357,0.019393370757948475,0.21379100279828175,4.72,6.50533995843209,1.1968164443969727,39.93656253814697,6.967909205955551,1.01776914348085
OnMultBlock,1024.0,512.0,0.338,1169766646.0,1681405406.0,1339208428.0,1.14,7604129676.0,4.52,13500136.0,127636070.0,5701484.0,1755217.0,327266933.0,2178966551.0,,82916168.0,1754502.0,6451592.0,12957.0,194587.0,82421761.0,6595541.0,0.348920818,0.339761,0.008993,,,0.013751731779268979,0.03805297881325761,0.030161082721908018,4.52,6.154644656370145,1.673905372619629,79.07501983642578,6.5922773343951055,0.962902394089882
OnMultBlock,1536.0,128.0,1.114,,5798448780.0,,,25838490001.0,4.46,,14308180.0,,3385579.0,,7302792827.0,,87591218.0,,612000.0,,124232.0,85005569.0,546677.0,1.134456794,1.114996,0.018982,,,0.23661842386662735,0.011994208253609,0.20299346405228758,4.46,6.388746887790245,1.4349954393174913,37.12599775526259,8.004177031708092,1.091235572432034
OnMultBlock,1536.0,256.0,1.048,3862751231.0,5390748139.0,4356772387.0,1.13,25710270590.0,4.77,38152955.0,16380299.0,23914753.0,3327512.0,1017148093.0,7296914483.0,,163199891.0,3798863.0,1182784.0,0.0,184652.0,158205325.0,1151250.0,1.068949452,1.051698,0.017011,,,0.20314110261357257,0.022365602801049024,0.1561164168605595,4.77,6.7802619650905624,1.4103834364149306,69.1731308831109,8.494688871406055,1.158108652082456
