strategy_name,matrix_size,threads,parallel_time_seconds,elapsed_seconds,user_seconds,sys_seconds,gflops,speedup,efficiency,ipc,cache_miss_rate,l1_miss_rate,llc_miss_rate,user_cpu_ratio,sys_cpu_ratio,gflops_per_thread,incremental_speedup_gain,incremental_time_reduction_pct
omp for simd,8192.0,4.0,76.0158,76.282091712,303.287779,0.691969,14.464251218509837,1.0,1.0,1.89,0.24110198005610803,0.13165807928015505,0.18324957124565933,3.975871298142308,0.00907118544431767,3.616062804627459,,
omp for simd,8192.0,8.0,44.1492,44.437290351,351.899794,1.066944,24.904451898924556,1.7217933733793591,0.8608966866896796,2.23,0.14217074370665408,0.14322083931936794,0.20282609065364027,7.919020066714777,0.02401010483700633,3.1130564873655695,0.7217933733793591,0.4192102168233446
omp for simd,8192.0,12.0,54.9414,55.224857658,574.423683,1.27493,20.012442853221796,1.3835795957147068,0.46119319857156893,1.56,0.2131401356852767,0.11984311664715046,0.162100728769863,10.401542119987477,0.023086161813136167,1.6677035711018162,-0.3382137776646523,-0.24444837052540025
omp for simd,8192.0,16.0,49.6979,49.968917983,650.693433,1.198928,22.123905190682102,1.5295575869402933,0.38238939673507333,1.78,0.17396354036229641,0.12839933498566303,0.16353330340750202,13.021963637903335,0.02399347531215083,1.3827440744176314,0.14597799122558652,0.09543804853898889
omp for simd,8192.0,20.0,45.8439,46.114532713,662.7848,1.440875,23.983815246434094,1.6581442678306166,0.3316288535661233,1.98,0.16947410293044515,0.13618259950063982,0.18134310715117827,14.372579770566697,0.03124557303805894,1.1991907623217046,0.12858668089032332,0.07754854832900383
omp for simd,8192.0,24.0,42.5814,42.865063309,740.685289,1.749903,25.821406242537822,1.7851878989417913,0.29753131649029857,1.86,0.2320888706723374,0.13194794053590805,0.2692743577168918,17.279463316329334,0.040823525382093356,1.0758919267724092,0.12704363111117467,0.07116541131971747
omp parallel for,8192.0,4.0,106.526,106.821853593,425.245594,0.805963,10.321533032086064,1.0,1.0,3.0,0.19535498765427536,0.07551272764484078,0.12221052897614373,3.9808857429138094,0.007544926182153559,2.580383258021516,,
omp parallel for,8192.0,8.0,64.6925,65.021488149,514.624168,1.303942,16.995967504362948,1.6466514665533099,0.8233257332766549,3.33,0.11057835058652823,0.08010699107615683,0.10339106597506012,7.914678403248983,0.020054016558525258,2.1244959380453685,0.6466514665533099,0.39270694478343315
omp parallel for,8192.0,12.0,64.2359,64.536726875,693.759347,1.411935,17.116777810788047,1.6583561528677888,0.5527853842892629,2.99,0.14743975338900117,0.07739257059713392,0.11552676479176346,10.749837814733459,0.021878007583724393,1.426398150899004,0.011704686314478963,0.007058005178343619
omp parallel for,8192.0,16.0,61.2048,61.515669823,829.423571,1.653873,17.964467293022768,1.7404844064517815,0.43512110161294537,3.13,0.1615632750054251,0.07735001897609833,0.14006673954643445,13.483126712047733,0.026885393668941826,1.122779205813923,0.08212825358399267,0.04718700913352194
omp parallel for,8192.0,20.0,62.3611,62.672275027,968.652193,1.937754,17.631370001106458,1.7082123310846022,0.34164246621692046,3.15,0.25139421639499915,0.07678636283254305,0.251662252316564,15.455832624277523,0.03091883929800205,0.8815685000553228,-0.03227207536717924,-0.018892309099939903
omp parallel for,8192.0,24.0,57.4131,57.745750865,1092.618177,2.016487,19.15088416713259,1.8554302066949877,0.30923836778249797,2.72,0.3659311621706493,0.05860285652274101,0.3875393368484974,18.921187457660054,0.03492009316346432,0.7979535069638578,0.14721787561038546,0.07934433484977013
omp parallel for collapse(2),8192.0,4.0,101.001,101.29639023,403.45798,0.730963,10.886145956733102,1.0,1.0,3.03,0.196470464066563,0.07344539096465973,0.1170349538454888,3.982945286440342,0.007216081425412113,2.7215364891832756,,
omp parallel for collapse(2),8192.0,8.0,70.3746,70.683022513,555.780319,1.211933,15.623699854436117,1.4351911058819518,0.7175955529409759,3.13,0.14407553513018,0.07527610315541983,0.11602914387194789,7.862995939340045,0.017146026823868513,1.9529624818045146,0.43519110588195176,0.3032286809041495
omp parallel for collapse(2),8192.0,12.0,64.7693,65.082585599,671.606418,1.348926,16.975814587713625,1.5593961954197437,0.5197987318065812,3.12,0.18111045530337885,0.07542094416132104,0.1609482706453874,10.3192952741312,0.020726373846166407,1.4146512156428022,0.12420508953779197,0.07964947580519108
omp parallel for collapse(2),8192.0,16.0,65.0998,65.410268185,886.004467,1.672832,16.88963142399823,1.5514794208277138,0.38786985520692846,2.99,0.18106695531446443,0.07314958680008159,0.14434316150588453,13.545342215905789,0.025574455607928797,1.0556019639998895,-0.007916774592029885,-0.0051027261372286045
omp parallel for collapse(2),8192.0,20.0,59.6118,59.9095156,941.381579,1.604849,18.4445299047504,1.6943121999335702,0.33886243998671406,3.2,0.26641507032468587,0.07477719510674774,0.2697102830325912,15.713389927659506,0.0267878814229638,0.92222649523752,0.14283277910585634,0.08430133425909142
omp parallel for collapse(2),8192.0,24.0,54.9115,55.210912135,1038.625763,1.81275,20.02333987918742,1.839341485845406,0.30655691430756765,2.88,0.3511374189196348,0.06525787281687545,0.3747076797165532,18.811965295200785,0.0328331833309966,0.8343058282994759,0.14502928591183584,0.07884848301846288
